I. ĐÁNH GIÁ KẾT QUẢ CÔNG VIỆC,,,,,
Tiêu chí,,Xếp loại giỏi (10 - 9 ),Xếp loại khá (8 -7),Xếp loại Trung bình (6-5),Xếp loại yếu (<5)
Kỹ năng thực hành trên dự án thực tế,1. Năng lực chuyên môn & chất lượng thực hiện: ,"Hiểu đúng yêu cầu ngay từ đầu, tự thiết kế và triển khai giải pháp hoàn chỉnh; sản phẩm đạt chất lượng cao, ổn định, ít lỗi, code/tài liệu rõ ràng.."," Hiểu yêu cầu tương đối tốt, triển khai khá độc lập; sản phẩm đạt yêu cầu, có lỗi nhỏ nhưng khắc phục nhanh."," Hiểu yêu cầu ở mức cơ bản, triển khai cần hướng dẫn; kết quả chạy được nhưng còn nhiều lỗi, cần review và chỉnh sửa nhiều.","Thường xuyên hiểu sai yêu cầu, triển khai kém; sản phẩm không đạt chất lượng, phụ thuộc nhiều vào mentor hoặc không hoàn thành."
,2. Tính chủ động & quản lý công việc:,"Chủ động tìm hiểu, tự quản lý tiến độ, hoàn thành đúng hoặc sớm deadline, ít phụ thuộc mentor.","Làm việc tương đối độc lập, chỉ cần góp ý nhỏ từ mentor.",Có thể làm nhưng cần sự hướng dẫn từng bước từ mentor.,"Chỉ làm được những phần rất cơ bản, phần chính phải nhờ mentor hỗ trợ; đôi khi không thể hoàn thành."
,,,,,
,,,,,
II. THÁI ĐỘ VÀ KỸ NĂNG MỀM,,,,,
Tiêu chí,,Xếp loại giỏi (10 - 9 ),Xếp loại khá (8 -7),Xếp loại Trung bình (6-5),Xếp loại yếu (<5)
Thái độ và tinh thần làm việc,1. Thái độ làm việc & tinh thần hợp tác,"Luôn giữ thái độ tích cực, chuyên nghiệp; tôn trọng người khác, biết lắng nghe và tiếp thu góp ý nhanh; tinh thần hợp tác tốt, đóng góp tích cực cho tập thể","Thái độ nghiêm túc, cầu thị; biết lắng nghe và điều chỉnh khi được góp ý; tinh thần làm việc ổn định","Thái độ nhìn chung ổn định, tuân thủ quy định nhưng chưa thực sự tích cực; tham gia công việc ở mức vừa đủ.","Thụ động, thiếu nghiêm túc; có biểu hiện tiêu cực (làm việc riêng, thiếu tập trung, than phiền); ảnh hưởng đến tinh thần chung của nhóm."
,2. Giao tiếp & báo cáo công việc,"Giao tiếp chủ động, rõ ràng; biết đặt câu hỏi đúng trọng tâm; báo cáo tiến độ đầy đủ, kịp thời, chủ động thông tin khi có issue.","Giao tiếp tương đối rõ ràng; có trao đổi và báo cáo đầy đủ, đôi lúc cần mentor nhắc.","Giao tiếp còn rụt rè, chưa mạch lạc; ít chủ động báo cáo, thường chỉ phản hồi khi được hỏi.","Giao tiếp kém, phản hồi mơ hồ hoặc né tránh trao đổi; thường xuyên báo cáo muộn hoặc thiếu, ảnh hưởng tiến độ công việc."
Khả năng làm việc nhóm,1. Hợp tác & giao tiếp trong nhóm,"Hòa nhập nhanh, chủ động phối hợp; giao tiếp rõ ràng, mạch lạc; tạo môi trường trao đổi cởi mở, hỗ trợ nhóm làm việc hiệu quả.","Hợp tác tốt, giao tiếp khá rõ ràng; sẵn sàng tham gia và phối hợp khi nhóm cần, đôi lúc còn dè dặt.","Phối hợp ở mức cơ bản; giao tiếp chưa thường xuyên hoặc chưa rõ ràng, chủ yếu tập trung vào phần việc cá nhân.","Ít trao đổi, giao tiếp kém; không chủ động phối hợp, cập nhật thông tin trễ, gây ảnh hưởng đến tiến độ chung."
,2. Mức độ đóng góp & ảnh hưởng đến tập thể,"Thường xuyên đóng góp ý kiến giá trị, chia sẻ kiến thức; tạo ảnh hưởng tích cực, giúp gắn kết và nâng cao hiệu suất của nhóm.","Tích cực tham gia thảo luận, có đóng góp hữu ích; hỗ trợ đồng đội khi được đề nghị, góp phần đạt mục tiêu chung.","Đóng góp còn hạn chế; ít chủ động chia sẻ, ảnh hưởng đến nhóm chưa rõ rệt.","Ít hoặc không tham gia thảo luận; thiếu chia sẻ thông tin, đôi khi gây khó khăn hoặc ảnh hưởng tiêu cực đến nhóm."
